,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
854,36,0.789,0.0797,0.0612,0.000399,0.346,0.411,97.113,170948,-2.448
9666,63,0.871,0.278,0.264,0.0,0.2,0.628,92.301,355067,-3.5885000000000002
27340,42,0.795,0.0692,0.00678,0.0,0.322,0.726,125.012,229588,-2.9644999999999997
25781,59,0.383,0.031,0.722,0.0,0.12,0.213,99.7,170840,-4.9975
27898,14,0.76,0.0576,0.00182,0.7,0.0974,0.641,125.0,248036,-2.4400000000000004
5696,58,0.667,0.066,0.497,0.638,0.11,0.456,80.116,72000,-8.7785
5302,63,0.752,0.0398,0.623,0.0706,0.107,0.282,126.001,233280,-4.470000000000001
17929,40,0.747,0.31,0.0492,0.0,0.0631,0.704,189.799,222000,-2.1014999999999997
4429,63,0.712,0.201,0.66,6.42e-06,0.101,0.123,79.98,250837,-4.569999999999999
7613,60,0.59,0.0697,0.104,6.56e-06,0.356,0.965,80.201,141067,-4.505
15918,30,0.396,0.0342,0.114,0.0,0.105,0.209,174.028,225030,-1.6425
28964,83,0.548,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,-1.195
